name,placeId,taking_students,notes
- Kemelle Deeble Psychotherapy And Counselling,ChIJW8pIPT8F1YkRxE-oq9VikJA,,
101 Psychotherapy & Counselling Vaughan,ChIJQeE6g9UvK4gR9TV7A1U8d4A,,
360 Wellness Spruce Grove,ChIJix3_5liOn1MRAKhSOKU9rjc,,
4 Elements Wellness Clinic,ChIJv5P23q2HblMRUNCGWFtqZII,,
"78 Elma St W, Okotoks, AB",ChIJU_9WnRqZcVMR3OSnXddJU1Q,,
"80 Acres Counselling, Mediation & Consulting",ChIJ6_eQo6d5ClMRw2o8ueB8Wgs,,
A Beautiful Mind Psychology & Psychotherapy Clinic,ChIJT34MOHcVK4gROdUMBbwde4U,,
A Better Life Consulting & Counselling,ChIJfVErt1MsE1MRJtS8g0du-B0,,
A Better Me Counselling Services,ChIJfVWgTJEtO4gR5qqsTAoKgpw,,
A Life of Value: Psychotherapy and Counselling,ChIJHXOffGzL1IkR-Nb67CQ-3Ck,,
"A life Worth Flourishing Therapy, Coaching & Transformative Educational Programs",ChIJB_Xg66NgcqgR1rrecs0v1J0,,
A Lily Among Thorns Lymphatic & Massage Therapy,ChIJSwgoQI-Rn1MRABrPzOC6k-U,,
A Mindful Change,ChIJlaP1b0ubK4gR7G8ecW_-atw,,
A Mindful Change Therapy Barrie,ChIJj2U_wTy9KogRAVVnYeWOKoA,,
A New Pathway Counselling,ChIJxwiFT86bK4gRiC9RtG7OkWA,,
A New Tomorrow Psychotherapy Services,ChIJ31BCzDUlK4gRRN4xumZ6D7E,,
"A Path to Peace Counseling, LLC",ChIJ__-vKystO4gRrrrJWRedqJc,,
A Space to Flourish Psychology,ChIJq6q6DtoXoFMRY4cTjCgsW1o,,
A Thread of Clarity Inc.,ChIJScGmfcshoFMRe28RKytWg4w,,
AAA Academy & Consulting Ltd,ChIJrbtPGxaCY0ERBqddoa0k6pw,,
Aberdeen Centre,ChIJDRJW00SRkFMR6bV6BK2qQ4Q,,
Abilities Behaviour Consulting,ChIJE7x0qKWEK4gRen3qj44Fw_g,,
Able Therapy,ChIJ7Unu3LT2C2cR2GxM2u9kzrA,,
Abma Counselling Services in St. Catharines and Niagara Falls,ChIJgVGpF7JR04kR1Zg1pualC5M,,
Aboriginal Counseling Services of Alberta,ChIJ14_QZDgioFMRqQWStJ8iLwc,,
About the Connection Counselling,ChIJu3ZCx52bLIgRYgwzXMJ8MnQ,,
Abraham Counselling Therapy,ChIJAQAwzOtVdFMR08eevJlaO9k,,
Abundant Life Counselling,ChIJ____o7FAcVMRY6nOyto39rY,,
Abundant Life Counselling Services,ChIJS1a9aHCJn1MRiEDRY535P-8,,
Abundant Living Counselling Group,ChIJZ0B5R5MHzkwRE7ntyhRc0os,,
Abyss Psychotherapy,ChIJPbl2txYVK4gR5GGE801Dass,,
AC Counselling and Wellness,ChIJF9Yk7Y8rO4gRbNnnJAGORkE,,
AC Counselling and Wellness,ChIJp0vIbQMvO4gRYiK08AiZwc8,,
Accel Physical Therapy & Massage - Millennium Drive,ChIJl4OmFQ4JsFMRhuSYRQVLNBY,,
Accel Physical Therapy & Massage - Syncrude Sport and Wellness Centre,ChIJ-78pRYQFsFMRiRud3ztqxFg,,
"Accendus Group - Counselling, Psychotherapy, and Mediation",ChIJw0PMpJFcK4gRcw6tkHzihKA,,
Access Chiropractic and Wellness,ChIJKZqYTFlfcVMRJaJbg2HKYFI,,
Access Counselling,ChIJ1Y94u9oIsFMRw7n_yCjCbp0,,
Access Therapy,ChIJa7rK0MObLIgRa7DHhV5gXu8,,
Access Therapy Centre,ChIJHcGl6zLe1IkRAEDqGhKHILw,,
Accord Medical Clinic,ChIJWzWd1UEXoFMRe_jfyrIHOEc,,
Achieve Health and Wellness,ChIJhTkIsumIblMRfHOFBSht5Pw,,
Achieve Psychological Services,ChIJUSeeQguRkFMRLlkgOqe5_to,,
Achieve Wellness Spa,ChIJkXCfZzwJsFMRr46K8dmE5g0,,
ACM Counselling,ChIJ49gb5tkd1YkRz8c8PgoIhjw,,
Acorn Counselling,ChIJMx5SNwCbLIgR8ytknrEHIyQ,,
Action Plan Counselling,ChIJY8djpKeFLIgRuwOFtdlVGNE,,
Activa Clinics,ChIJQ1Zl6k30K4gRZ6DJIcx64Rw,,
Active Balance Health Centre,ChIJW2UZI82ZcVMRn5GktzHys38,,
Active Physio Works,ChIJZ_jQkyokoFMRA2IjeFEgAl0,,
Active Physio Works - St. Albert Servus Place,ChIJ-f4b3aQloFMRdAmclJStZmc,,
Active Physio Works - Sturgeon Medical,ChIJlyDHayUloFMR73VNQ2ALvQg,,
Active Recovery Therapy Massage Clinic,ChIJ_TGfsFD5n1MRnRgvFSDISe4,,
Actualize Psychological Services - St. Albert,ChIJOYBOZXMnoFMR07nOQKa11M4,,
Adam Vasey Therapy,ChIJy-tO7hMtO4gRaigdcDBzVLA,,
Addiction & Mental Health Services - Alberta Health Services,ChIJS03bU4aXcVMR0nUa9DqQprk,,
Addiction And Mental Health Adult Outreach Services,ChIJ-0BfHu8sE1MRaVx43mIkJU8,,
Addiction and Mental Health Clinic,ChIJ0S3i6OPMc1MRaiUYdkxsy70,,
Addiction and Mental Health Services - KFLA,ChIJzdmcrQCr0kwRfcSKla_WW54,,
Addiction Mental Health Community,ChIJi0KIglcsE1MRf04UWpyNXfc,,
Adoption Advisory & Counselling Service,ChIJx_ycd7NR04kR9Fh0nN3Tib8,,
Adriel Family Therapy Centre,ChIJFRLmtCVUdFMR6_X6cGwvLus,,
Adrienne Richardson Niagara Counselling/ Online Therapy,ChIJK-y2oEJD04kR9BaDap5NuJo,,
Advance Therapy,ChIJGedgYAAd1YkRnZIfkP6pBus,,
Advanced Counceling & Consulting Practice,ChIJyWXw7bQIsFMRDik4znnF9oQ,,
Advanced Counselling,ChIJ7YUXAaQtE1MRRlTJwb2iJp4,,
Advanced Mind Clinic,ChIJwX_CWf1hK4gR_jnw56D4g3M,,
Advanced Psychology Institute (API Canada),ChIJZ208PksZoFMRWSA4XpieNFc,,
"Advanced Psychology Services, Richmond Hill",ChIJ44aGpLIrK4gRuMPp-f3HIxI,,
Advanced Solutions Counselling,ChIJBwCwIeeqL00RzQH9u412Ybk,,
Advanced Therapeutic Counselling,ChIJXfTtYW5fcVMRB0-qJBMNUxM,,
Adventure Physiotherapy - North,ChIJhZMd76qWkFMR5koznvdcoOA,,
ADZ Psychology & Wellness Clinic,ChIJ3YeFWm35n1MRMBs89LByC28,,
AE Counselling and Support Services,ChIJ9xTJRkL1K4gR__KOmb6CUCg,,
AE Therapy - Angelica Esposito | EMDR,ChIJU4JxtA5hK4gRqNQ3pBDly4E,,
Afall Healing Services,ChIJb6pdEGQtO4gRqs3Ab64stEk,,
Affinity Counselling,ChIJa6gjsSf1K4gR8XZhibjN4hc,,
Affirming Mental Health Services,ChIJo6UidIYfWU0R6Ei_UmsSfzk,,
Affix Therapy,ChIJa_vPrOT5n1MRoYpcT4ouD4s,,
Affordable Child and Family Therapy,ChIJex0OPeqJToYRwUeo-6o4eaM,,
Afterglow Counselling & Wellness,ChIJE4n6cgktO4gRjovgesTIZDk,,
Ahana Counselling & Consulting,ChIJA60m_-Yd1YkRZX1V3K2wCHI,,
Ahave Massage Spa Lethbridge,ChIJpSLkPKHTqoQRHQzNtXTVmzQ,,
Ahmad And Associates,ChIJ__9PGa4rO4gRXcip0HOzYAU,,
"Ahmadreza Zamani, Family Counsellor, Registered Psychotherapist",ChIJQVOuOSfT1IkRvlyykN1O_TI,,
AIKYA Complete Wellness,ChIJW7dM1KK7ClMR172QvbXZ0SU,,
"AIM youth and family counselling, addictions counselling",ChIJdzyytwRhK4gRJImPNvx4tVc,,
Airdrie - Alberta Supports Centre,ChIJJ-0L0ElfcVMR9EqY1BVqGzs,,
Airdrie Addiction & Mental Health Clinic,ChIJD0jpOm9fcVMRPguJG6eQRiY,,
Airdrie Children's Services,ChIJm0-efAdfcVMRTT-rABKExSg,,
Airdrie Community Health Centre,ChIJE3Vy8XFfcVMRP0JH5ZhXn50,,
Airdrie Community Health Services,ChIJCxwN8XFfcVMR9RoCvj_M17A,,
Airdrie Counselling Centre,ChIJKbaTCBlfcVMRWHmPRF_Y3HE,,
Airdrie Family Services Society,ChIJ9_2uOW9fcVMRQ0_i99Vqh34,,
Airdrie Family Wellness,ChIJ0UXDvJpfcVMRlsOuhd_8Y6M,,
